Item, Price
"Basket, woven", VE (8 C)
"Bell, small metal", E  (2 G)
"Bedroll", E (3 SP)
"Blanket, flannel single", E (2 SP)
"Bowl, wooden soup", VE (6 C)
"Brazier, portable bronze", M (S G)
"Bucket, wooden", E (4 SP)
"Candle, tallow taper; torch", VE (1 C)
"Chest, small wooden", M (3 G)
"Cloth, flannel, about 1 square meter", VE (8 C)
"Compass", D (30 G)
"Drum, handheld", M (15 S)
"Fishing hook and line", VE (5 C)
"Flute", E (2 G)
"Grappling hook", E (8 S)
"Hammer", E (3 S)
"Healer's pack", VE (16 C)
"Holy symbol, silver unblessed", M (10 G)
"Ink in small glass vial", M (3 G)
"Incense (2 long sticks)", E (8 S)
"Lamp, pottery", VE (8 C)
"Lamp oil, medium flask", VE (5 C)
"Lockpicking tools", VD (27 G)
"Lute", M (4 G)
"Marbles, hard clay", VE (8 C)
"Makeup kit (5 uses)", E (8 S)
"Mirror, silver", M (5 G)
"Mirror, polished steel or bronze", M (3 G)
"Parchment, rice paper, or vellum", E (8 S)
"Pick, mining", E (16 S)
"Perfumed water in small glass vial", E (10 S)
"Pouch, large leather", E (4 S)
"Pouch, small flannel", VE (6 C)
"Pot, iron cooking", E (16 S)
"Quill", VE (16 C)
"Quiver", E (8 S)
"Room in an inn (average per day per person)", M (1 S)
"Room in an inn (common room bed)", VE (1 C)
"Rope, heavy (hemp, 15 meters)", E (4 S)
"Rope, light (silk, 15 meters)", M (15 G)
"Sack, rough cloth", VE (6 C)
"Scabbard", E (8 S)
"Sealing wax", VE (16 C)
"Shovel", E (8 S)
"Spoon or fork, brass dinner (each)", VE (3 C)
"Spikes, iron", E (6 S)
"Tent, two-person", M (7 G)
"Tinder box with flint and steel", VE (8 C)
"Vial with stopper, ceramic", VE (2 C)
"Vial with stopper, glass", VE (7 C)
"Waterskin", E (7 S)
"Whetstone", VE (1 C)
